timestamp,open,high,low,close,volume,symbol,rsi,macd,macd_signal,macd_diff,bb_upper,bb_middle,bb_lower,bb_width,price_ma7,price_ma30,price_ma90,volume_ma7,returns,log_returns,volatility,target_direction,target_price,fear_greed,fear_greed_norm,dxy,sp500,nasdaq,gold,oil,vix,dxy_returns,sp500_returns,nasdaq_returns,gold_returns,oil_returns,funding_rate,dxy_trend,equity_regime,vix_high,rate_pressure
2020-07-08,0.7530480027198792,0.8275229930877686,0.7434110045433044,0.7967129945755005,2220223,SOLUSDT,58.12590933207598,0.03138031974872513,0.03713554417339129,-0.00575522442466616,0.8647644991167308,0.7481399536132812,0.6315154081098316,31.17720018565768,0.7540024263518197,0.6996010680993398,0.6549213780297174,1911270.4285714286,0.05798434057046964,0.05636553235348108,0.0610278698316452,1,0.8534529805183411,44.0,0.44,96.43000030517578,3169.93994140625,10492.5,1815.5,40.900001525878906,28.079999923706055,-0.004644890183729933,0.007827461915415501,0.01436696993233566,0.006263190962168652,0.006893220122030863,0.0,0.0,0,1,0.0
2020-07-09,0.7940179705619812,0.8823580145835876,0.759905993938446,0.8534529805183411,2668724,SOLUSDT,62.7730371045601,0.03681148377310017,0.037070732093333066,-0.0002592483202328924,0.8779184717532369,0.756596001982689,0.635273532212141,32.07060821167909,0.7644644209316799,0.7061161001523336,0.6538369225131141,2042576.5714285714,0.07121759821812934,0.06879594376821506,0.06212090456648315,1,0.9135599732398987,44.0,0.44,96.69999694824219,3152.050048828125,10547.75,1799.199951171875,39.619998931884766,29.260000228881836,0.002799923698143081,-0.005643606159361103,0.005265665951870391,-0.008978269803428862,-0.03129590577604835,0.0,0.0,0,1,0.0
2020-07-10,0.8533040285110474,0.9396290183067322,0.8428500294685364,0.9135599732398987,1856095,SOLUSDT,66.95658383090483,0.045442024991944385,0.038744990673055334,0.006697034318889052,0.8980155992647203,0.7700944513082504,0.6421733033517805,33.222197027690605,0.785245418548584,0.7150725324948629,0.6553562667634752,2144167.5714285714,0.07042800727586873,0.06805857529230017,0.06361110702876888,1,0.9246240258216858,41.0,0.41,96.6500015258789,3185.0400390625,10617.4404296875,1798.199951171875,40.54999923706055,27.290000915527344,-0.0005170157594734937,0.01046620127324438,0.006607137037519806,-0.0005558025940077815,0.02347300177303513,0.0,0.0,0,1,0.0
2020-07-11,0.9135599732398987,0.926347017288208,0.8590949773788452,0.9246240258216858,1788814,SOLUSDT,67.67665793122569,0.05256858968568934,0.041509710475582134,0.011058879210107203,0.9191512296431659,0.7826682031154633,0.6461851765877606,34.87634376468158,0.8058528474399022,0.7267686009407044,0.6558242334259881,2164812.285714286,0.012110920909274236,0.012038170500589678,0.061717483206495165,1,1.0167160034179688,44.0,0.44,96.6500015258789,3185.0400390625,10617.4404296875,1798.199951171875,40.54999923706055,27.290000915527344,-0.0005170157594734937,0.01046620127324438,0.006607137037519806,-0.0005558025940077815,0.02347300177303513,0.0,0.0,0,1,0.0
2020-07-12,0.9238560199737549,1.130977988243103,0.9141169786453247,1.0167160034179688,4693371,SOLUSDT,72.95880390894229,0.06489937687866087,0.04618764375619788,0.018711733122462992,0.9648514287296035,0.797161602973938,0.6294717772182725,42.07172676909474,0.8522888507161822,0.7408635020256042,0.6584785004456838,2292577.285714286,0.0995993777194395,0.0949459113934056,0.05950694271851094,1,1.175734043121338,41.0,0.41,96.6500015258789,3185.0400390625,10617.4404296875,1798.199951171875,40.54999923706055,27.290000915527344,-0.0005170157594734937,0.01046620127324438,0.006607137037519806,-0.0005558025940077815,0.02347300177303513,0.0,0.0,0,1,0.0
2020-07-13,1.0167160034179688,1.2876629829406738,1.0088839530944824,1.175734043121338,4062069,SOLUSDT,79.2609924337705,0.0865058557454611,0.05425128615405053,0.03225456959141057,1.0507918730781152,0.8205334544181824,0.5902750357582496,56.124078164053095,0.9191211462020874,0.7597565372784932,0.6641874896155463,2712762.4285714286,0.15640359664723147,0.1453148413655523,0.06904711279125011,0,1.148074984550476,43.0,0.43,96.45999908447266,3155.219970703125,10390.83984375,1811.0,40.099998474121094,32.189998626708984,-0.0019658814113455714,-0.009362541127788226,-0.021342298780777758,0.007118256687629998,-0.01109742962777116,0.0,0.0,0,1,0.0
2020-07-14,1.172476053237915,1.2460060119628906,1.1191660165786743,1.148074984550476,2213135,SOLUSDT,75.94553526019901,0.10024176635914805,0.06344938219507004,0.03679238416407801,1.108276550441506,0.8410875022411346,0.5738984540407632,63.53418579836892,0.975553572177887,0.778456469376882,0.6697588668929206,2786061.5714285714,-0.023524927880316016,-0.023806056774464558,0.07017931749637349,1,1.289597988128662,43.0,0.43,96.26000213623047,3197.52001953125,10488.580078125,1810.5999755859375,40.290000915527344,29.520000457763672,-0.0020733666819449104,0.013406370782667931,0.00940638445445674,-0.00022088592714664124,0.0047382156767130645,0.0,0.0,0,1,0.0
2020-07-15,1.147523045539856,1.3968349695205688,1.1414580345153809,1.289597988128662,3355229,SOLUSDT,80.4513641882167,0.12115074770819789,0.0749896552976956,0.046161092410502286,1.193988793186075,0.8699077010154724,0.5458266088448698,74.50930524980798,1.0459657141140528,0.802421768506368,0.6764120002587636,2948205.285714286,0.12326982599799341,0.11624391937812598,0.07301973032591523,0,0.8724409937858582,44.0,0.44,96.08000183105469,3226.56005859375,10550.490234375,1811.4000244140625,41.20000076293945,27.760000228881836,-0.0018699387199372364,0.009082050740923053,0.005902625120736804,0.00044186945703783564,0.022586245389272452,0.0,-0.0036295600229538927,0,1,0.0
2020-07-16,1.28403902053833,1.3749669790267944,0.8550440073013306,0.8724409937858582,7486568,SOLUSDT,50.45189109086558,0.10287431192061214,0.08056658662227892,0.02230772529833322,1.1951282123591145,0.8764725506305695,0.5578168889020245,72.71320967194953,1.0486782874379839,0.8119839350382487,0.6787643671035767,3636468.714285714,-0.3234783228439595,-0.39079078878630347,0.11863034298377272,1,0.9778370261192322,43.0,0.43,96.3499984741211,3215.570068359375,10473.830078125,1798.699951171875,40.75,28.0,0.002810123209002091,-0.0034061012455366413,-0.00726602788562658,-0.007011191934976124,-0.01092234841277584,0.0,-0.0036194259065843726,0,1,0.0
2020-07-17,0.870760977268219,1.0468419790267944,0.8018839955329895,0.9778370261192322,8973774,SOLUSDT,55.01592082271782,0.095790470940743,0.08361136348597173,0.01217910745477127,1.2020794051387107,0.8896870017051697,0.5772945982716287,70.22523715302377,1.057860723563603,0.8251931031545003,0.6820614894231161,4653280.0,0.1208059147656737,0.11404799329803604,0.12144286240269496,0,0.9665830135345459,41.0,0.41,95.94000244140625,3224.72998046875,10503.1904296875,1808.300048828125,40.59000015258789,25.68000030517578,-0.004255278040559252,0.002848612194617406,0.0028032106061965933,0.005337242406658893,-0.003926376623610062,0.0,-0.007346084565581168,0,1,0.0
