timestamp,open,high,low,close,volume,symbol,rsi,macd,macd_signal,macd_diff,bb_upper,bb_middle,bb_lower,bb_width,price_ma7,price_ma30,price_ma90,volume_ma7,returns,log_returns,volatility,target_direction,target_price,fear_greed,fear_greed_norm,dxy,sp500,nasdaq,gold,oil,vix,dxy_returns,sp500_returns,nasdaq_returns,gold_returns,oil_returns,funding_rate,dxy_trend,equity_regime,vix_high,rate_pressure
2014-12-15,351.3609924316406,351.81500244140625,344.9339904785156,345.3450012207031,17264200,BTCUSDT,39.01755488520549,-6.151503802058755,-3.424277216553374,-2.7272265855053814,390.41601017236513,365.39134979248047,340.3666894125958,13.697456381546589,349.42642647879467,367.3433319091797,371.24405551486547,20017085.714285713,-0.017879452125651896,-0.01804122065223821,0.01621324270279351,0,327.06201171875,50.0,0.5,88.45999908447266,1989.6300048828125,4605.16015625,1207.199951171875,55.90999984741211,20.420000076293945,0.0011317165395015039,-0.006342586611898127,-0.010409132798206322,-0.012111332919905848,-0.032866311723644626,0.0,0.0,0,1,0.0
2014-12-16,345.6730041503906,345.8590087890625,327.06201171875,327.06201171875,30864900,BTCUSDT,31.724780301639967,-8.038018297361646,-4.347025432715029,-3.690992864646617,393.34633199995125,363.3259506225586,333.30556924516594,16.52531635901744,345.8325718470982,365.3159993489583,369.79658881293403,19724142.85714286,-0.05294123105105797,-0.05439412969735232,0.01996618517522983,0,319.7760009765625,50.0,0.5,88.12999725341797,1972.739990234375,4547.830078125,1193.9000244140625,55.93000030517578,23.56999969482422,-0.003730520398712245,-0.008489022887163578,-0.01244909540164274,-0.011017169728098297,0.0003577259491729379,0.0,0.0,0,1,0.0
2014-12-17,326.8550109863281,333.9540100097656,315.1520080566406,319.7760009765625,37567900,BTCUSDT,29.36892771876491,-10.005675601635346,-5.478755466499092,-4.526920135136254,396.15262270149464,360.83125,325.5098772985054,19.57777919816791,342.03414481026783,363.0615997314453,368.63365546332466,22744171.42857143,-0.02227715381526163,-0.022529037468551814,0.020153054087886046,0,311.39599609375,50.0,0.5,89.12999725341797,2012.8900146484375,4644.31005859375,1194.300048828125,56.470001220703125,19.440000534057617,0.011346874289857256,0.020352415732846962,0.021214508636287377,0.0003350568773619056,0.009654942116590126,0.0,0.0,0,0,0.0
2014-12-18,319.7850036621094,323.7090148925781,304.23199462890625,311.39599609375,39173000,BTCUSDT,26.895139917316342,-12.101753074534258,-6.8033549881061255,-5.298398086428133,398.14077173630074,357.57870025634764,317.01662877639455,22.687073615332345,336.4469996861049,360.9348663330078,367.70698886447485,23707271.42857143,-0.026205859280311383,-0.026555352175350936,0.02054371004971866,1,317.8429870605469,50.0,0.5,89.23999786376953,2061.22998046875,4748.39990234375,1194.699951171875,54.11000061035156,16.809999465942383,0.001234159247630151,0.02401520473971619,0.022412337341128685,0.0003348424410953843,-0.04179211190607046,0.0,0.0,0,0,0.0
2014-12-19,311.1789855957031,318.5329895019531,306.7690124511719,317.8429870605469,23823100,BTCUSDT,31.664069800313868,-13.091777421197321,-8.061039474724366,-5.030737946472955,397.866474810922,354.69629974365233,311.52612467638266,24.342049859820815,331.489998953683,358.84446614583334,366.69519992404514,24683457.14285714,0.020703512722289208,0.02049210790497289,0.020674008519792165,1,329.95599365234375,50.0,0.5,89.5999984741211,2070.64990234375,4765.3798828125,1195.9000244140625,56.52000045776367,16.489999771118164,0.004034072377513187,0.004570048934014581,0.0035759373300401354,0.001004497607127508,0.04453889891383711,0.0,0.0,0,0,0.0
2014-12-20,317.6189880371094,330.32501220703125,316.04400634765625,329.95599365234375,20856700,BTCUSDT,39.632251691473414,-12.751963749052663,-8.999224329590026,-3.752739419462637,395.3487130654495,352.29174957275393,309.23478608005837,24.44392384715987,329.00142560686385,357.9149993896484,365.9300330268012,25995000.0,0.03811003257872558,0.037401783536729974,0.024619544860464835,0,320.8429870605469,50.0,0.5,89.5999984741211,2070.64990234375,4765.3798828125,1195.9000244140625,56.52000045776367,16.489999771118164,0.004034072377513187,0.004570048934014581,0.0035759373300401354,0.001004497607127508,0.04453889891383711,0.0,0.0,0,0,0.0
2014-12-21,329.5429992675781,329.6289978027344,318.90301513671875,320.8429870605469,15207600,BTCUSDT,36.21128763506765,-13.067369930631969,-9.812853449798414,-3.254516480833555,392.6417728512216,349.37164916992185,306.1015254886221,24.77025470389827,324.6029968261719,356.9148325602213,365.026599460178,26393914.285714287,-0.02761885453548918,-0.02800742641911091,0.024937893218387575,1,331.885986328125,50.0,0.5,89.5999984741211,2070.64990234375,4765.3798828125,1195.9000244140625,56.52000045776367,16.489999771118164,0.004034072377513187,0.004570048934014581,0.0035759373300401354,0.001004497607127508,0.04453889891383711,0.0,0.0,0,0,0.0
2014-12-22,321.0679931640625,334.11700439453125,320.42498779296875,331.885986328125,22315100,BTCUSDT,42.66927565516764,-12.28464412071628,-10.307211583981989,-1.977432536734291,388.191183390214,346.9001983642578,305.6092133383016,23.8056854511217,322.68028041294644,356.2136983235677,363.87209947374134,27115471.42857143,0.034418702333968154,0.03383962868132819,0.02659021503261626,1,334.5719909667969,50.0,0.5,89.7699966430664,2078.5400390625,4781.419921875,1179.699951171875,55.2599983215332,15.25,0.0018973010250040723,0.003810463907886641,0.0033659518143249745,-0.013546344101903363,-0.02229303124602844,0.0,0.014808925753467372,0,0,0.0
2014-12-23,332.0169982910156,336.2869873046875,329.60198974609375,334.5719909667969,16574200,BTCUSDT,44.1503546326894,-11.317133282845873,-10.509195923754767,-0.8079373590911061,384.38725528064157,344.87829742431643,305.3693395679913,22.911826085545663,323.75313459123885,355.11366475423176,362.8872884114583,25073942.85714286,0.00809315472578076,0.008060580781696913,0.026106820876162038,0,322.53399658203125,50.0,0.5,90.05999755859375,2082.169921875,4765.419921875,1177.9000244140625,57.119998931884766,14.800000190734863,0.003230488207328408,0.0017463617463617798,-0.0033462863043673963,-0.0015257496247452762,0.033659078299804746,0.0,0.021899470842215774,0,0,0.0
2014-12-24,334.385009765625,334.7409973144531,321.35699462890625,322.53399658203125,15092300,BTCUSDT,39.25566469847734,-11.390437639619961,-10.685444266927806,-0.7049933726921545,381.46556411292636,342.5247970581055,303.5840300032846,22.737487848633045,324.14713396344865,353.3014312744141,361.8979549831814,21863142.85714286,-0.0359802814036525,-0.036643529605327387,0.027347261308375895,0,319.00799560546875,50.0,0.5,89.97000122070312,2081.8798828125,4773.47021484375,1173.5,55.84000015258789,14.369999885559082,-0.0009992931415756523,-0.00013929653841071588,0.0016893144991894093,-0.0037354820637272024,-0.022408942633617035,0.0,0.009424481018402986,0,0,0.0
2014-12-25,322.2860107421875,322.6700134277344,316.9580078125,319.00799560546875,9883640,BTCUSDT,37.929253264244146,-11.599340702007794,-10.868223553943803,-0.7311171480639906,376.48125284463305,339.6324966430664,302.7837404414998,21.699193431594672,325.2345624651228,351.4234313964844,360.9488772922092,17678948.57142857,-0.01093218393697526,-0.010992379373534256,0.02695437718618255,1,327.92401123046875,50.0,0.5,89.97000122070312,2081.8798828125,4773.47021484375,1173.5,55.84000015258789,14.369999885559082,-0.0009992931415756523,-0.00013929653841071588,0.0016893144991894093,-0.0037354820637272024,-0.022408942633617035,0.0,0.008180226069121943,0,0,0.0
2014-12-26,319.1520080566406,331.42401123046875,316.62701416015625,327.92401123046875,16410500,BTCUSDT,43.1593313801243,-10.919575863969726,-10.878494015948988,-0.04108184802073822,370.6982674686709,337.28944702148436,303.8806265742978,19.810178315515753,326.6747087751116,350.0752319335937,360.15336642795137,16620005.714285715,0.027949191706237997,0.02756574140127263,0.028337563080774744,0,315.8630065917969,50.0,0.5,90.02999877929688,2088.77001953125,4806.85986328125,1195.300048828125,54.72999954223633,14.5,0.0006668618181584485,0.003309574570383944,0.006994837494464834,0.01857694829835954,-0.019878234371747627,0.0,0.004799110630565151,0,0,0.0
2014-12-27,327.5830078125,328.9110107421875,312.6300048828125,315.8630065917969,15185200,BTCUSDT,38.44076011158515,-11.22468838809067,-10.947732890377324,-0.27695549771334527,364.11092093985803,334.3278472900391,304.5447736402201,17.81668735717446,324.6614249093192,348.2816650390625,359.47205539279514,15809791.42857143,-0.036779876512901266,-0.03747331232117634,0.02952265080706851,1,317.239013671875,50.0,0.5,90.02999877929688,2088.77001953125,4806.85986328125,1195.300048828125,54.72999954223633,14.5,0.0006668618181584485,0.003309574570383944,0.006994837494464834,0.01857694829835954,-0.019878234371747627,0.0,0.004799110630565151,0,0,0.0
